CBO baseline budget data and projections,,,,,,,,,,,,,,,,,,,,,,
"Outlays, mandatory, discretionary, and net interest",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Historical data source: Historical Data from CBO February 2021 ""The Budget and Economic Outlook: 2021 to 2031""",,,,,,,,,,,,,,,,,,,,,,
"Forecast data source: 2021-2031 data come from CBO's July 2021 report ""Additional Information About the Updated Budget and Economic Outlook: 2021 to 2031""",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"Outlays, in billions of 2020 dollars",,,,,,,,"Outlays, in percent of GDP",,,,,,,,,,,,,
,,,,,,Mandatory,Mandatory,,,,,,,,,,,,,,,
,,,,,,Outlays,Outlays,,,,,,,,,,,,,,,
,,,,,,as percent of,as percent of,,,,,,,,,,,,,,,
,,,,,,Total Non-interest,Total,,,,,,,,,,,,,,,
Year,Mandatory,Discretionary,Net Interest,Total Non-interest Outlays,Total Outlays,Outlays,Outlays,,Mandatory,Discretionary,Net Interest,Total Non-interest Outlays,Total Outlays,,,,,,,,,
1981,301.562,307.913,68.766,609.475,678.241,0.494789778,0.444623666,,9.625,9.827,2.195,19.452,21.647,,,,,,,,,
1982,334.759,325.952,85.032,660.711,745.743,0.50666479,0.448893251,,10.104,9.838,2.566,19.942,22.508,,,,,,,,,
1983,365.246,353.31,89.808,718.556,808.364,0.508305546,0.45183358,,10.329,9.992,2.54,20.321,22.861,,,,,,,,,
1984,361.256,379.447,111.102,740.703,851.805,0.487720449,0.424106456,,9.148,9.608,2.813,18.756,21.569,,,,,,,,,
1985,401.073,415.793,129.478,816.866,946.344,0.490989954,0.423813117,,9.403,9.749,3.036,19.152,22.188,,,,,,,,,
1986,415.845,438.52,136.017,854.365,990.382,0.486729911,0.419883439,,9.187,9.688,3.005,18.875,21.88,,,,,,,,,
1987,421.245,444.161,138.611,865.406,1004.017,0.486759972,0.419559629,,8.836,9.316,2.907,18.152,21.059,,,,,,,,,
1988,448.195,464.418,151.803,912.613,1064.416,0.491111786,0.421071273,,8.722,9.038,2.954,17.76,20.714,,,,,,,,,
1989,485.93,488.832,168.981,974.762,1143.743,0.498511432,0.424859431,,8.748,8.8,3.042,17.548,20.59,,,,,,,,,
1990,568.068,500.578,184.347,1068.646,1252.993,0.531577342,0.453368854,,9.631,8.486,3.125,18.117,21.242,,,,,,,,,
1991,596.5,533.278,194.448,1129.778,1324.226,0.527979833,0.450451811,,9.789,8.752,3.191,18.541,21.732,,,,,,,,,
1992,648.382,533.803,199.344,1182.185,1381.529,0.548460689,0.469322034,,10.106,8.32,3.107,18.426,21.533,,,,,,,,,
