year,jun_2009,jun_2009_frcst,jun_2010,jun_2010_frcst,jun_2011,jun_2011_frcst,jun_2012,jun_2012_frcst,sep_2013,sep_2013_frcst,jul_2014,jul_2014_frcst,jun_2015,jun_2015_frcst,jul_2016,jul_2016_frcst,jan_2017,jan_2017_frcst,mar_2017,mar_2017_frcst,jun_2018,jun_2018_frcst,jan_2019,jan_2019_frcst,jun_2019,jun_2019_frcst,jan_2020,jan_2020_frcst,sep_2020,sep_2020_frcst,mar_2021,mar_2021_frcst
1850,,,,,,,,,2,0,2,0,2,0,2,0,,,2,0,2,0,,,2,0,,,,,,
1851,,,,,,,,,2,0,2,0,2,0,2,0,,,2,0,2,0,,,2,0,,,,,,
1852,,,,,,,,,2,0,2,0,2,0,2,0,,,2,0,2,0,,,2,0,,,,,,
1853,,,,,,,,,1,0,1,0,1,0,1,0,,,1,0,1,0,,,1,0,,,,,,
1854,,,,,,,,,1,0,1,0,1,0,1,0,,,1,0,1,0,,,1,0,,,,,,
1855,,,,,,,,,1,0,1,0,1,0,1,0,,,1,0,1,0,,,1,0,,,,,,
1856,,,,,,,,,1,0,1,0,1,0,1,0,,,1,0,1,0,,,1,0,,,,,,
1857,,,,,,,,,1,0,1,0,1,0,1,0,,,1,0,1,0,,,1,0,,,,,,
1858,,,,,,,,,1,0,1,0,1,0,1,0,,,1,0,1,0,,,1,0,,,,,,
1859,,,,,,,,,2,0,2,0,2,0,2,0,,,2,0,2,0,,,2,0,,,,,,
1860,,,,,,,,,2,0,2,0,2,0,2,0,,,2,0,2,0,,,2,0,,,,,,
1861,,,,,,,,,7,0,7,0,7,0,7,0,,,7,0,7,0,,,7,0,,,,,,
1862,,,,,,,,,17,0,17,0,17,0,17,0,,,17,0,17,0,,,17,0,,,,,,
1863,,,,,,,,,24,0,24,0,24,0,24,0,,,24,0,24,0,,,24,0,,,,,,
1864,,,,,,,,,26,0,26,0,26,0,26,0,,,26,0,26,0,,,26,0,,,,,,
1865,,,,,,,,,31,0,31,0,31,0,31,0,,,31,0,31,0,,,31,0,,,,,,
1866,,,,,,,,,31,0,31,0,31,0,31,0,,,31,0,31,0,,,31,0,,,,,,
1867,,,,,,,,,31,0,31,0,31,0,31,0,,,31,0,31,0,,,31,0,,,,,,
1868,,,,,,,,,31,0,31,0,31,0,31,0,,,31,0,31,0,,,31,0,,,,,,
1869,,,,,,,,,30,0,30,0,30,0,30,0,,,30,0,30,0,,,30,0,,,,,,
1870,,,,,,,,,28,0,28,0,28,0,28,0,,,28,0,28,0,,,28,0,,,,,,
1871,,,,,,,,,26,0,26,0,26,0,26,0,,,26,0,26,0,,,26,0,,,,,,
1872,,,,,,,,,24,0,24,0,24,0,24,0,,,24,0,24,0,,,24,0,,,,,,
1873,,,,,,,,,23,0,23,0,23,0,23,0,,,23,0,23,0,,,23,0,,,,,,
1874,,,,,,,,,24,0,24,0,24,0,24,0,,,24,0,24,0,,,24,0,,,,,,
1875,,,,,,,,,24,0,24,0,24,0,24,0,,,24,0,24,0,,,24,0,,,,,,
1876,,,,,,,,,24,0,24,0,24,0,24,0,,,24,0,24,0,,,24,0,,,,,,
1877,,,,,,,,,24,0,24,0,24,0,24,0,,,24,0,24,0,,,24,0,,,,,,
1878,,,,,,,,,26,0,26,0,26,0,26,0,,,26,0,26,0,,,26,0,,,,,,
1879,,,,,,,,,23,0,23,0,23,0,23,0,,,23,0,23,0,,,23,0,,,,,,
1880,,,,,,,,,18,0,18,0,18,0,18,0,,,18,0,18,0,,,18,0,,,,,,
1881,,,,,,,,,17,0,17,0,17,0,17,0,,,17,0,17,0,,,17,0,,,,,,
1882,,,,,,,,,14,0,14,0,14,0,14,0,,,14,0,14,0,,,14,0,,,,,,
1883,,,,,,,,,14,0,14,0,14,0,14,0,,,14,0,14,0,,,14,0,,,,,,
1884,,,,,,,,,13,0,13,0,13,0,13,0,,,13,0,13,0,,,13,0,,,,,,
1885,,,,,,,,,13,0,13,0,13,0,13,0,,,13,0,13,0,,,13,0,,,,,,
1886,,,,,,,,,12,0,12,0,12,0,12,0,,,12,0,12,0,,,12,0,,,,,,
1887,,,,,,,,,11,0,11,0,11,0,11,0,,,11,0,11,0,,,11,0,,,,,,
